EventName,CharacterName,Text,Address,IsEnabled,Shake,Bounce
설거지하는 제드,고보스,(설거지하는중),Govos_normal,,,
-,고보스,집나와서 무작정 킨코우 수련원에 온지 2년…\n나는 아직도 설거지를 한다. \n오늘도 설거지는 힘들구나… 흑흑,Govos_normal,,,
-,고보스,나는 언제쯤 킨코우 수련생이 될 수 있을까? 열심히 하면 되겠지?,Govos_normal,,,
-,고보스,"(밤이 되고, 고보스는 다른 사람들이 자는 사이 몰래 수련을 한다.)",Govos_normal,,,
-,고보스,개빡쎄네 수련… 이제 자야지 (고보스는 잠이든다),Govos_normal,,,
End,,,,,,
쿠쇼 사부님과의 만남,고보스,(또 설거지중),Govos_normal,,,
-,쿠쇼,창백한 말라깽이 녀석! 넌 이름이 뭐냐?,Kusho_normal,,,
-,고보스,(속으로 기뻐하며) 저는 고보스라고 해요… ,Govos_normal,,,TRUE
-,쿠쇼,이리와서 내 아들 쉔과 대련하거라. ,Kusho_normal,,,
-,쉔,"어이 허접, 준비됐나?",TempShen_normal,,,
-,고보스,"응, 준비됐어!",Govos_normal,,,
-,쉔,고릴라 펀치!,TempShen_normal,,,
-,고보스,으어엌,Govos_normal,,TRUE,
-,쉔,고릴라 킥!,TempShen_normal,,,
-,고보스,꺄아악,Govos_normal,,TRUE,
-,고보스,(몇시간동안 털리기를 반복하지만 계속 싸운다.) \n아직 난 쌩쌩하다! 내 발차기를 받아라!,Govos_normal,,,
-,쉔,(이정도면 한대 맞아주는 척 하자)우어억,TempShen_normal,,TRUE,
-,쿠쇼,근성이 엄청나구나. 널 내 제자로 삼으마.,Kusho_normal,,,
-,고보스,요시!,Govos_normal,,,TRUE
End,,,,,,
10대 1뜨는 제드,우산,(6년 후) 어이 쉔! 이제 나도 쎄졌다!,Usan_normal,,,
-,쉔 ,킨코우 수련생 10명 쓰러뜨리면 나랑 맞먹는 1짱으로 인정해주지.,TempShen_normal,,,
-,킨코우 수련생,근육만 생겼지 개 약해보이노! 덤벼라 고보스!,Kinkoudude_normal,,,
-,우산,ㅋㅋ 허접쉑들 덤벼라!(튜토리얼 진입),Usan_normal,,,
-,우산,(싸움 이기고 레벨업함) 이제 나는 짱짱쎄다!,Usan_normal,,,
-,쉔,ㅇㅈ,TempShen_normal,,,
End,,,,,,
